entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2020-06-25,local-authority-eng:SHE,,"Coach Depot
 King Street
 Brenzett, 
Kent, TN29 9UD",,,"Not owned by a 
public authority","Permitted
Planning ref Y14/0578/SH",,,,,0.2,11,11,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,UA2,"Former Rotunda Amusement Park, Marine Parade, Folkestone, Kent",,,"Not owned by a 
public authority","Permitted
Planning ref Y12/0897/SH",,,51.076856,1.185134,23,1000,1000,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,,"Shepway Resource Centre, Military Road, 
Folkestone, Kent, CT20 3SP",,,"Not owned by a 
public authority","Permitted
Planning ref Y16/0463/SH",,,51.079718,1.140235,0.69,41,41,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,,"Stoneleigh House, Tram Road, 
Folkestone, Kent, CT20 1QS",,,"Not owned by a 
public authority","Permitted
Planning ref Y13/0858/SH",,,,,0.1,14,14,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,ND1,"Former Officers Mess, Aerodrome Road, Hawkinge",,,"Not owned by a 
public authority","Resolution to grant
Y15/0030/SH",,,51.112735,1.149033,3.75,70,70,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,,"11 Tontine Street, Folkestone, Kent, CT20 1JT",,,"Not owned by a 
public authority",Y15/0072/SH,,,51.08049,1.184484,0.0291,8,8,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,,"Land Adjoining Sir John Moore 
Barracks, Military Road, Sandgate, Kent",,,"Not owned by a 
public authority",Y11/0137/SH,,,51.076407,1.143952,1.44,6,6,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,UA3,"The Royal Victoria Hospital, 
Radnor Park Avenue",,,,,,,,,1,42,42,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,UA4,"3-5 Shorncliffe Road, Folekstone",,,,,,,,,0.15,20,20,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,UA7,"Former Gas Works, Ship Street, 
Folkestone",,,,,,,,,1.5,100,100,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,UA8,"Highview School, Moat Farm Road",,,,,,,,,0.9,27,27,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,UA9,"Brockman Family Centre, Cheriton",,,,,,,,,0.87,26,26,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,UA10,"The Cherry Pickers Public House, 
Cheriton",,,,,,,,,0.23,10,10,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,UA11,"Affinity Water, Shearway Road, 
Cheriton",,,,,,,,,2.87,70,70,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,UA12,"Encombe House, Sandgate",,,,,,,,,1.65,36,36,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,UA13,"Smiths Medical Campus, Hythe",,,,,,,,,3.2,80,80,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,UA16,"St Saviour's Hosptial, Seabrook 
Road, Hythe",,,,,,,,,1.14,50,50,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,UA17,"Foxwood School, Seabrook Road, 
Hythe",,,,,,,,,5.9,150,150,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,UA19,"Hythe Swimming Pool, Hythe",,,,,,,,,0.5,50,50,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,RM3,"Land rear of the Old School House, 
Church Lane, New Romney",,,,,,,,,0.84,20,20,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,RM8,"Station Yard, Station Road, Lydd",,,,,,,,,0.87,30,30,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,RM9,"Former Sands Motel, land adjoining 
pumping station, Dymchurch Road, St Mary's Bay",,,,,,,,,1.6,85,85,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,RM10,"Land rear of Varne Boat Club, 
Coast Drive, Greatstone",,,,,,,,,0.23,5,5,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,RM11,"Car park, Coast Drive, Greatstone",,,,,,,,,0.47,16,16,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,RM12,"The Old Slaughterhouse, Rosemary 
Corner, Brookland",,,,,,,,,0.27,5,5,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,ND3,"Land adjacent Kent Battle of Britain Museum, Aerodrome Road, Hawkinge",,,,,,,,,,100,100,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,ND5,"General Sellindge policy 
(Silver Spray site)",,,,,,,,,0.45,5,5,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
2020-06-25,local-authority-eng:SHE,ND9,"Etchinghill Nursery, Etchinghill",,,,,,,,,,30,30,,,,03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4
